"Category Merge","Category Merge"
"Is Active","Is Active"
"Merge to and delete current","Merge to and delete current"
"Merge to and keep current","Merge to and keep current"
"Merge into current and delete source","Merge into current and delete source"
"Merge into current and keep source","Merge into current and keep source"
"Category merge failed","Category merge failed"
"Your categories have been merged successfully","Your categories have been merged successfully"
"Action From","Action From"
"Action To","Action To"
